name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dublin,2023-12-01,3.6,-3,0,2,-7.4,-3.2,-1.6,89.5,0,0,0,,0,0,19.1,15.2,269.4,1010.7,56.9,18.2,28.1,2.4,3,,2023-12-01T08:16:49,2023-12-01T16:10:46,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-02,5.1,-0.3,2.3,3.9,-3.6,-0.1,-0.2,83.4,0.077,100,8.33,"rain,snow",0,0,12.2,14.1,237.7,1011.3,56,17.1,25.2,2.1,2,,2023-12-02T08:18:18,2023-12-02T16:10:03,0.66,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-03,5,0.2,2.2,1.4,-2.9,-0.7,1.3,93.7,3.808,100,8.33,"rain,snow",0.1,0,39.2,26.5,16.3,1007.3,86.3,8.2,12.3,1.1,1,,2023-12-03T08:19:45,2023-12-03T16:09:24,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-04,5,1.7,3.7,0.5,-3.7,-1.1,1.3,84.5,0,0,0,,0,0,55.4,29.1,339.7,1003.8,89,18.3,5.3,0.5,0,,2023-12-04T08:21:10,2023-12-04T16:08:48,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-05,5.6,1.9,4.1,3.7,-1,1,2.6,90.3,0.001,100,4.17,"rain,snow",0,0,40,27.4,319.1,1013.3,86.6,15.4,7.7,0.7,1,,2023-12-05T08:22:32,2023-12-05T16:08:16,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-06,8.5,3.8,7.2,4.7,0.9,3.7,5.2,87.3,0.632,100,4.17,rain,0,0,79.2,36.8,147.1,1009.1,82.5,14.8,7.7,0.6,1,,2023-12-06T08:23:52,2023-12-06T16:07:47,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-07,11.9,8.6,10.1,11.9,4.8,8.4,8,86.9,1.014,100,8.33,rain,0,0,67.6,40.3,168,993.6,78.1,11.3,6,0.6,1,,2023-12-07T08:25:10,2023-12-07T16:07:21,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-08,9.6,8.2,8.9,6.3,4.6,5.5,5.4,78.6,0.108,100,8.33,rain,0,0,64.4,33.3,215.1,994.2,84.5,15.5,23.3,2,2,,2023-12-08T08:26:25,2023-12-08T16:07:00,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-09,11.4,6.9,9.3,11.4,2.8,6.8,5.9,80,7.044,100,12.5,rain,0,0,90.2,56.3,250.8,990.2,77.8,14.2,16.4,1.3,1,,2023-12-09T08:27:37,2023-12-09T16:06:41,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-10,10.9,6.2,8.5,10.9,2.5,5.5,6,84.4,4.575,100,12.5,rain,0,0,87,54.7,227.3,993.1,71.9,15.6,20.6,1.9,2,,2023-12-10T08:28:47,2023-12-10T16:06:27,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
